jobkey,Job Title,Company Name,Location,Job Type,Email address,Company Website URL,Company Logo,Date fetched
6fdbe428cf571721,Sales Representative (Digital),Ingredion,Home Office,NONE,=== IN DEVELOPING ===,http://www.ingredion.com/,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e2e74ebf1b36d210af243826f77a0dfb,2023-03-03 15:23:34.321007
4674407d6f6198a3,Manager Sustainability - Safety Health Environment Issues ‏ (d/f/m),Henkel,Düsseldorf,NONE,=== IN DEVELOPING ===,http://www.henkel.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/00b75e6d8906a6487419746f7570d0ce,2023-03-03 15:23:43.334464
084ea448237e3e9a,Master Thesis: Zeolite immobilized ultrafiltration membranes for the removal of inorganic water contaminants,Karlsruher Institut für Technologie,76344 Eggenstein-Leopoldshafen,NONE,=== IN DEVELOPING ===,http://www.kit.edu/,https://d2q79iu7y748jz.cloudfront.net/s/_logo/13a972953c20c6478f1a47d345d7077f,2023-03-03 15:23:55.276044
98a424577ab24a06,Card Disputes Officer,Concardis GmbH,65760 Eschborn,NONE,=== IN DEVELOPING ===,https://www.concardis.com/,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/c5af43ede053b98a4c02b6f6960ef0c0,2023-03-03 15:24:04.427944
a067f9066ec82e8b,Working Student (f/m/d) Learning Operations,Siemens Healthineers,91052 Erlangen,Part-time,=== IN DEVELOPING ===,,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/b5ca95cb9618e2b793e937af98f2184a,2023-03-03 15:24:15.497871
aab0c98a382ca68a,Global Service Desk Agent,Equinix,60326 Frankfurt am Main,NONE,=== IN DEVELOPING ===,http://www.equinix.com,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/08c1e9c6862e45884f71d8a47c7028b5,2023-03-03 15:24:31.956426
0f60b946f631a6bb,Working Student (f/m/d) - HR Business Partner Team for Product Engineering (PE),SAP,69190 Walldorf,Part-time,=== IN DEVELOPING ===,http://www.sap.com/careers,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/d17f7c102a43b1dce3ba341c8dbad2b0,2023-03-03 15:24:53.424834
5ad582bd5c3abe9e,TPM Risk Assessment Analyst (m/f/x) [Role: Risk Processing Analyst],Deutsche Bank,Berlin,Full-time,=== IN DEVELOPING ===,https://www.db.com/careers,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/bcaa55ffe2abf43dd5af968419da22b9,2023-03-03 15:25:02.835335
3e510015da087f57,Data Governance Lead (m/f/d) (Düsseldorf or Amsterdam),C&A,40468 Düsseldorf,NONE,=== IN DEVELOPING ===,https://www.c-and-a.com/de/de/corporate/company/,https://d2q79iu7y748jz.cloudfront.net/s/_logo/945eed39c1175f9a789b006cea21625f,2023-03-03 15:25:17.335156
3a63eae1f48037fe,Customer Support Representative (German & English),Airalo,Deutschland,NONE,=== IN DEVELOPING ===,,,2023-03-03 15:25:36.452346
